"ID","区分","機能","ユーザーストーリー","期待挙動(file:line)","P1_story","P2_テスト結果","P2_不具合","P3_修正","P4_再テスト","human_gate","備考"
"S01","分析","EV機会ボード（ev-opportunities）","予想好きの友達として、totoだけでなくWINNER/goal3/BIG/公営ギャンブルの妙味候補を1画面で比較し、どれに張るか決めたい。","buildEvOpportunityCards が big/goal3/public_gambling_watch/toto/winner の横断カードを status 降順で返す（src/lib/ev-opportunities.test.ts:57-80）。BIGは真EV未計算のランダム発券ウォッチ扱い（同:47-55）、公営は research_only（同:34-45）。UI=src/app/ev-opportunities/page.tsx","done","緑:test285 lint0 build28 pages200。preview緑(6カード/self-link0/tap<44px0)","なし","—（不具合なし）","preview実走確認済 2026-06-24","","#74自己リンク・#77タップ領域・#76横スクロールを live で再確認"
"S02","ロジック","試合確率の準備度判定（probability readiness）","幹事として、情報が薄い試合で過剰に自信のある確率を出させたくない。材料の厚みに応じて high/medium/low/fallback を表示してほしい。","evaluateMatchReadiness が market+official+scout+form 揃いで high、手入力補正のみで medium、official_vote のみで low（『低信頼』）、日程のみで fallback（src/lib/probability/readiness.test.ts:88-142）。round 集計は summarizeRoundReadiness が partial 等を返す（同:158-184）。lib=src/lib/probability/readiness.ts","done","緑:test285 lint0 build28 pages200","なし","—（不具合なし）","—（ロジックは vitest 緑）","",""
"S03","ロジック","W杯戦略の候補宇宙ガード（world-cup-strategy）","幹事として、全試合オープンなW杯13試合回でも戦略ダッシュボードがフリーズせず即表示してほしい。強い本命だけはロックで固定したい。","enumeratePositiveEvCombos は宇宙>20000(coverageUniverseLimit)で上位2に縮約し、なお超なら truncated を返す（src/lib/world-cup-strategy.ts:1686-1840、テスト src/lib/world-cup-strategy.test.ts）。model_lock は modelFavoriteProbability>=0.65（src/lib/world-cup-strategy.ts:969）。","done","緑:test285 lint0 build28 pages200。preview緑(domInteractive89ms/17表/no freeze)","なし","—（不具合なし）","preview実走確認済 2026-06-24","","#72宇宙ガードの凍結解消を live で再確認（89ms）"
"S04","基盤","共有保存とローカルfallback（repository facade）","幹事として、共有D1接続時は全員の入力が同期され、未設定/接続不可ならローカル保存で1人でも動かしたい。","repository.ts の各関数が isCloudflareD1Mode() で d1Repository と localRepository を分岐（src/lib/repository.ts:140-168 ほか）。DataMode=demo|local|cloudflare_d1（src/lib/data-mode.test.ts、storage/repository-bridge.test.ts）。","done","緑:test285 lint0 build28 pages200。facade静的監査完了","なし（監査済）: D1-backed 22関数すべて isCloudflareD1Mode 分岐あり。always-local 関数も silent no-op 無し→deleteRound/replaceGeneratedTickets=明示エラー、createDemoRound=demo専用、saveTotoOfficialRoundImport/instantiate/createRoundFromFixtures=ページが直前にsetMode('local')強制(toto-official-round-import:445,fixture-selector:130 / sharedCreateEnabled=false)。再発バグclassクローズ確認","—（不具合なし）","—（静的監査で確認）","","過去PR#C/#D/#J/#Hで潰したno-op再発系を全面再監査し残存ゼロを確認"
"S05","ロジック","候補チケット生成（candidate-tickets）","友達として、王道モデル/公式人気/人力コンセンサス/EVハンター等の候補チケットを自動生成し、どれを買うか相談したい。","generateCandidateTickets が『王道モデル』『公式人気』『人気差スポット』『人力コンセンサス』を生成、EVハンターは evMultiple>=2.0 かつ互いに hamming>=2 で多様化（src/lib/candidate-tickets.test.ts:97-194）。EV前提欠落時は proxy_only にフォールバック、公式票欠落は missing_official_vote 表示（同:258-295）。1試合商品もサポート（同:322-337）。","done","緑:test285 lint0 build28 pages200","なし","—（不具合なし）","—（ロジックは vitest 緑）","","UI=src/app/ticket-generator/page.tsx・/play・/pick-room"
"S06","友達導線","友達プレイ画面（play / pick-room）","予想に詳しくない友達として、難しい分析UIを見ずに候補カードを眺め、自分の1/0/2を入れて投票したい。","buildPlayPageSummary が候補数と入力済みユーザー数を集計（src/lib/play-page.test.ts:150-160）、buildPlayDraftValues が保存済みpickをドラフト復元（同:162-168）。UI=src/app/play/page.tsx・src/app/pick-room/page.tsx","done","緑:test285 lint0 build28 pages200。preview緑(/play no-round状態を正常描画/error無し)","なし","—（不具合なし）","preview実走確認済 2026-06-24","","group-play.ts も関連（投票/コメント）"
"S07","練習/振り返り","練習ラボ指標（practice-lab）","幹事として、確定した結果に対しモデル本命的中・公式本命的中・引分警報・候補的中の数を見て、W杯本番前に練習回を振り返りたい。","buildPracticeLabMetrics が resolvedMatchCount/modelFavoriteHitCount/officialFavoriteHitCount/drawAlertHitCount/candidateHitCount を算出（src/lib/play-page.test.ts:170-215）。lib=src/lib/practice-lab.ts、UI=src/app/practice-lab/page.tsx","done","緑:test285 lint0 build28 pages200","なし","—（不具合なし）","—（ロジックは vitest 緑）","",""
"S08","分析","WINNER妙味判定（winner-value）","WINNER回を見る友達として、人気過多の本命より倍率差・edgeの大きい妙味アウトカムを優先表示してほしい。","isWinnerLikeRound が product/単一試合形状で判定（src/lib/winner-value.test.ts:31-52）、sortWinnerOutcomeEdges が強edge/value を overweight本命より上位に（同:59-76）、buildWinnerOfficialSnapshot が公式回/EV前提から pool を見積もり（同:104-173）。UI=src/app/winner-value/page.tsx","done","緑:test285 lint0 build28 pages200","なし","—（不具合なし）","—（ロジックは vitest 緑）","",""
"S09","分析","totoGOAL3 妙味ウォッチ（goal3）","GOAL3回を見る友達として、6チームの公式票と payout proxy を並べ、注目すべき回かどうかを uplift で判断したい。","isGoal3LibraryEntry が GOAL3回を判定し vote-rate URL を導出（src/lib/goal3.test.ts:88-91）、buildGoal3EventWatch が approxEvMultiple と requiresAttention を算出（同:93-97）、buildGoal3VoteRows が live snapshot から対戦/会場/payoutProxy 付き行を生成（同:99-147）、pickFeaturedGoal3Entry が注目回を優先（同:149-160）。UI=src/app/goal3-value/page.tsx","done","緑:test285 lint0 build28 pages200","なし","—（不具合なし）","—（ロジックは vitest 緑）","",""
"S10","友達導線","招待リンク生成（invite-link）","幹事として、対象ラウンドとedit/shareトークン付きの招待URLを作って友達に送り、admin権限は絶対に漏らしたくない。","buildInviteUrl が既存クエリを消して round/edit/share を設定し Cloudflare/GitHub Pages 両 basePath を保持（src/lib/invite-link.test.ts:6-24）、shareCode 無しは share 省略（同:26-39）、admin トークンは決して含めず値を URL エンコード（同:41-49）。","done","緑:test285 lint0 build28 pages200","なし","—（不具合なし）","—（ロジックは vitest 緑。admin非漏洩を test:41-49 が担保）","","token 漏洩は重大事故。回帰テスト健在を確認"
